run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230509-10:55:19-115592,runattr,,,configname,General,,
General-0-20230509-10:55:19-115592,runattr,,,datetime,20230509-10:55:19,,
General-0-20230509-10:55:19-115592,runattr,,,datetimef,20230509-105519,,
General-0-20230509-10:55:19-115592,runattr,,,experiment,General,,
General-0-20230509-10:55:19-115592,runattr,,,inifile,omnetpp.ini,,
General-0-20230509-10:55:19-115592,runattr,,,iterationvars,,,
General-0-20230509-10:55:19-115592,runattr,,,iterationvarsd,,,
General-0-20230509-10:55:19-115592,runattr,,,iterationvarsf,,,
General-0-20230509-10:55:19-115592,runattr,,,measurement,,,
General-0-20230509-10:55:19-115592,runattr,,,network,Network,,
General-0-20230509-10:55:19-115592,runattr,,,processid,115592,,
General-0-20230509-10:55:19-115592,runattr,,,repetition,0,,
General-0-20230509-10:55:19-115592,runattr,,,replication,#0,,
General-0-20230509-10:55:19-115592,runattr,,,resultdir,results,,
General-0-20230509-10:55:19-115592,runattr,,,runnumber,0,,
General-0-20230509-10:55:19-115592,runattr,,,seedset,0,,
General-0-20230509-10:55:19-115592,config,,,network,Network,,
General-0-20230509-10:55:19-115592,config,,,sim-time-limit,200s,,
General-0-20230509-10:55:19-115592,config,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,
General-0-20230509-10:55:19-115592,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230509-10:55:19-115592,config,,,Network.queue.bufferSize,200,,
General-0-20230509-10:55:19-115592,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230509-10:55:19-115592,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230509-10:55:19-115592,config,,,Network.queue.serviceTime,200,,
General-0-20230509-10:55:19-115592,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230509-10:55:19-115592,config,,,Network.nodeRx.queue.serviceTime,200,,
