run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230509-15:13:22-127110,runattr,,,configname,General,,
General-0-20230509-15:13:22-127110,runattr,,,datetime,20230509-15:13:22,,
General-0-20230509-15:13:22-127110,runattr,,,datetimef,20230509-151322,,
General-0-20230509-15:13:22-127110,runattr,,,experiment,General,,
General-0-20230509-15:13:22-127110,runattr,,,inifile,omnetpp.ini,,
General-0-20230509-15:13:22-127110,runattr,,,iterationvars,,,
General-0-20230509-15:13:22-127110,runattr,,,iterationvarsd,,,
General-0-20230509-15:13:22-127110,runattr,,,iterationvarsf,,,
General-0-20230509-15:13:22-127110,runattr,,,measurement,,,
General-0-20230509-15:13:22-127110,runattr,,,network,Network,,
General-0-20230509-15:13:22-127110,runattr,,,processid,127110,,
General-0-20230509-15:13:22-127110,runattr,,,repetition,0,,
General-0-20230509-15:13:22-127110,runattr,,,replication,#0,,
General-0-20230509-15:13:22-127110,runattr,,,resultdir,results,,
General-0-20230509-15:13:22-127110,runattr,,,runnumber,0,,
General-0-20230509-15:13:22-127110,runattr,,,seedset,0,,
General-0-20230509-15:13:22-127110,config,,,network,Network,,
General-0-20230509-15:13:22-127110,config,,,sim-time-limit,200s,,
General-0-20230509-15:13:22-127110,config,,,Network.nodeTx.gen.generationInterval,exponential(0.3),,
General-0-20230509-15:13:22-127110,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230509-15:13:22-127110,config,,,Network.queue.bufferSize,200,,
General-0-20230509-15:13:22-127110,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230509-15:13:22-127110,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230509-15:13:22-127110,config,,,Network.queue.serviceTime,200,,
General-0-20230509-15:13:22-127110,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230509-15:13:22-127110,config,,,Network.nodeRx.queue.serviceTime,200,,
