run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230514-21:09:21-6795,runattr,,,configname,General,,
General-0-20230514-21:09:21-6795,runattr,,,datetime,20230514-21:09:21,,
General-0-20230514-21:09:21-6795,runattr,,,datetimef,20230514-210921,,
General-0-20230514-21:09:21-6795,runattr,,,experiment,General,,
General-0-20230514-21:09:21-6795,runattr,,,inifile,omnetpp.ini,,
General-0-20230514-21:09:21-6795,runattr,,,iterationvars,,,
General-0-20230514-21:09:21-6795,runattr,,,iterationvarsd,,,
General-0-20230514-21:09:21-6795,runattr,,,iterationvarsf,,,
General-0-20230514-21:09:21-6795,runattr,,,measurement,,,
General-0-20230514-21:09:21-6795,runattr,,,network,Network,,
General-0-20230514-21:09:21-6795,runattr,,,processid,6795,,
General-0-20230514-21:09:21-6795,runattr,,,repetition,0,,
General-0-20230514-21:09:21-6795,runattr,,,replication,#0,,
General-0-20230514-21:09:21-6795,runattr,,,resultdir,results,,
General-0-20230514-21:09:21-6795,runattr,,,runnumber,0,,
General-0-20230514-21:09:21-6795,runattr,,,seedset,0,,
General-0-20230514-21:09:21-6795,config,,,network,Network,,
General-0-20230514-21:09:21-6795,config,,,sim-time-limit,200s,,
General-0-20230514-21:09:21-6795,config,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,
General-0-20230514-21:09:21-6795,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230514-21:09:21-6795,config,,,Network.queue.bufferSize,200,,
General-0-20230514-21:09:21-6795,config,,,Network.queue1.bufferSize,200,,
General-0-20230514-21:09:21-6795,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230514-21:09:21-6795,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230514-21:09:21-6795,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230514-21:09:21-6795,config,,,Network.nodeRx.queue.serviceTime,200,,
General-0-20230514-21:09:21-6795,config,,,Network.nodeTx.traTx.bufferSize,2000000,,
General-0-20230514-21:09:21-6795,config,,,Network.nodeRx.traRx.bufferSize,200,,
