run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230509-15:08:19-126496,runattr,,,configname,General,,
General-0-20230509-15:08:19-126496,runattr,,,datetime,20230509-15:08:19,,
General-0-20230509-15:08:19-126496,runattr,,,datetimef,20230509-150819,,
General-0-20230509-15:08:19-126496,runattr,,,experiment,General,,
General-0-20230509-15:08:19-126496,runattr,,,inifile,omnetpp.ini,,
General-0-20230509-15:08:19-126496,runattr,,,iterationvars,,,
General-0-20230509-15:08:19-126496,runattr,,,iterationvarsd,,,
General-0-20230509-15:08:19-126496,runattr,,,iterationvarsf,,,
General-0-20230509-15:08:19-126496,runattr,,,measurement,,,
General-0-20230509-15:08:19-126496,runattr,,,network,Network,,
General-0-20230509-15:08:19-126496,runattr,,,processid,126496,,
General-0-20230509-15:08:19-126496,runattr,,,repetition,0,,
General-0-20230509-15:08:19-126496,runattr,,,replication,#0,,
General-0-20230509-15:08:19-126496,runattr,,,resultdir,results,,
General-0-20230509-15:08:19-126496,runattr,,,runnumber,0,,
General-0-20230509-15:08:19-126496,runattr,,,seedset,0,,
General-0-20230509-15:08:19-126496,config,,,network,Network,,
General-0-20230509-15:08:19-126496,config,,,sim-time-limit,200s,,
General-0-20230509-15:08:19-126496,config,,,Network.nodeTx.gen.generationInterval,exponential(0.6),,
General-0-20230509-15:08:19-126496,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230509-15:08:19-126496,config,,,Network.queue.bufferSize,200,,
General-0-20230509-15:08:19-126496,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230509-15:08:19-126496,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230509-15:08:19-126496,config,,,Network.queue.serviceTime,200,,
General-0-20230509-15:08:19-126496,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230509-15:08:19-126496,config,,,Network.nodeRx.queue.serviceTime,200,,
General-0-20230509-15:08:19-126496,vector,Network.nodeTx.gen,packetGen,,,"0.477524702739 1.016660935829 1.770219390657 2.885981917902 3.439915796784 4.610842998315 5.083163682304 6.210542114826 6.541171206828 7.127375062664 7.750270643062 8.041347541295 8.386659059425 8.598554542908 9.93266919613 9.967699997586 11.956647365543 12.147661050048 12.437822313017 12.827490121968 13.768827792542 14.772154512737 15.223758980725 15.616088521058 16.119748232798 16.419071438208 17.978023889717 19.063045448282 19.107256661561 19.354203459307 19.408900074982 20.035667579967 20.047922933006 20.323471815359 21.395964413422 23.286066370628 24.18953692581 24.280275438009 25.504463992774 26.728999322321 29.036132443806 29.421157947413 30.38430168165 31.352702926586 31.724060602362 32.165039255076 33.07496083947 33.756524204496 33.832048850159 34.597185471493 35.210044596103 35.733437313128 35.826275121428 36.288775916508 38.0254282033 38.878247011356 39.32094338641 39.38811108279 39.709450514927 40.094467336146 40.278835547438 40.402557516656 41.295510412107 42.096684522881 42.462133976791 42.608563071233 43.1127638946 43.199930710975 43.211311852496 43.446374338902 44.023202902341 44.120484796009 44.688682802314 44.839547961559 45.41527674798 45.708410977565 47.435159990332 48.832508014861 49.519591387681 49.878239033772 50.145550130803 50.715246880901 51.059966324946 52.455776961963 53.173441641637 53.236178377102 53.273447551382 55.373575762055 56.032923242586 56.668223721479 57.334582188891 57.447037828502 57.588761852152 57.854804269324 57.937621482381 58.771047096256 58.998424274826 59.560061210689 59.831322446824 60.067189981206 60.573846657323 60.597356551171 60.943751137655 61.547273740755 64.219971848461 66.135739833693 66.200320898587 66.835016746598 66.975597657863 67.580409205115 67.68595733237 70.902017542516 71.537263171572 72.060412683747 72.235661003707 72.556699809957 72.933464758552 73.319733359514 73.487899564601 74.074018009043 74.177894482731 74.425395220684 74.495568466559 75.169469447479 75.810312765769 76.039246271794 76.128473633345 77.032454833309 77.163783191213 78.956097126324 79.232105500968 79.883867129495 80.916066124125 80.924264871184 80.985551800099 81.570612960593 82.662504312164 83.334392931616 83.395013796801 85.539166820208 87.788585695959 89.051778476434 89.431180434271 89.858730590271 92.115886960973 92.150283116827 92.707370214968 93.067338346953 93.873885510244 93.885999587132 93.909985366567 94.259712399887 94.459158544465 96.794100618172 96.870934677359 97.138186354511 97.34889200814 97.742279778758 97.818112960613 98.518237076542 98.747857645859 100.02239996406 100.343330589514 101.845677659365 101.885456100254 102.032093369103 102.739607085342 103.239313194982 103.740971714164 104.942916027668 105.127964931727 105.554713694057 105.999169064325 107.490518478511 107.549708663562 109.073891368337 109.588628752982 109.640691042386 111.230244599592 111.425448848909 111.655584977368 111.661225427766 112.321732973821 113.430129564422 113.514927992558 114.139996385066 114.895956671131 116.000726154023 116.205718654239 116.390229288496 116.511639551636 116.81595962559 117.345837050766 117.828715490647 117.840902965924 117.949054317115 119.008498960563 119.28553749819 119.288361422485 119.383366326223 120.062946811406 120.568796630695 120.757629627208 121.48753481927 122.28478954352 122.488997586461 124.45408349309 124.794825985178 124.966438568683 125.81305321426 126.328088994957 126.63069527891 127.168649801382 128.526889946899 129.036422433838 129.647617671849 129.799069667584 131.131973806668 132.963342800799 133.647107578919 134.00268199539 134.360509631988 135.484585559902 137.790389509848 138.511732650196 138.585848638613 138.797660718577 139.671751853716 140.680305176444 140.998738674414 141.301749923067 141.976919133173 143.254618770814 143.427065056456 143.949386552252 144.174829857696 145.455728127686 147.474350399517 148.181980159704 148.714697005966 149.489842567246 150.136543497728 150.554023174268 151.011143837046 152.886424851641 153.043659196646 153.663337403033 153.96472388199 154.295561476071 154.874233615367 155.433675343611 155.820138168605 155.831766037414 156.212842666792 156.428198996314 157.183625106672 157.831217225865 158.035016065414 158.240575840233 158.530757252187 159.10818228565 159.937969809572 160.273946451616 161.538415014586 161.625759401655 161.690887660752 161.903422140099 161.961575792845 162.4679088764 162.730125684664 163.266363131647 163.747894323102 164.260342164488 164.280864215503 164.916269846732 166.999791134301 167.633300899497 167.865578954786 168.204345255458 168.354394152445 169.71557454806 169.806950723213 170.081854453588 170.1432468225 170.486723753357 172.969409609663 174.304358403998 174.485297951932 175.469836498688 175.931882614416 176.662094311618 177.018538410612 177.081905996789 177.144835098149 178.656404376199 178.917011769765 179.668576284712 180.048653855346 184.107888167308 185.211727838354 185.308849890381 186.718956264231 187.934501554493 187.957471302224 188.063866647311 188.489817403645 189.063397257998 189.172920419128 189.252230644897 190.158124718263 191.288482050215 192.489673947531 193.477705408327 193.795707135209 194.300835712248 194.391310318364 194.705032336417 194.725304407748 194.768309638336 197.198217741619 197.915480881388 198.195844421234 198.558423864343 198.88533814123 199.653538663517 199.684686194827","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
