run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230509-15:06:39-126224,runattr,,,configname,General,,
General-0-20230509-15:06:39-126224,runattr,,,datetime,20230509-15:06:39,,
General-0-20230509-15:06:39-126224,runattr,,,datetimef,20230509-150639,,
General-0-20230509-15:06:39-126224,runattr,,,experiment,General,,
General-0-20230509-15:06:39-126224,runattr,,,inifile,omnetpp.ini,,
General-0-20230509-15:06:39-126224,runattr,,,iterationvars,,,
General-0-20230509-15:06:39-126224,runattr,,,iterationvarsd,,,
General-0-20230509-15:06:39-126224,runattr,,,iterationvarsf,,,
General-0-20230509-15:06:39-126224,runattr,,,measurement,,,
General-0-20230509-15:06:39-126224,runattr,,,network,Network,,
General-0-20230509-15:06:39-126224,runattr,,,processid,126224,,
General-0-20230509-15:06:39-126224,runattr,,,repetition,0,,
General-0-20230509-15:06:39-126224,runattr,,,replication,#0,,
General-0-20230509-15:06:39-126224,runattr,,,resultdir,results,,
General-0-20230509-15:06:39-126224,runattr,,,runnumber,0,,
General-0-20230509-15:06:39-126224,runattr,,,seedset,0,,
General-0-20230509-15:06:39-126224,config,,,network,Network,,
General-0-20230509-15:06:39-126224,config,,,sim-time-limit,200s,,
General-0-20230509-15:06:39-126224,config,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,
General-0-20230509-15:06:39-126224,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230509-15:06:39-126224,config,,,Network.queue.bufferSize,200,,
General-0-20230509-15:06:39-126224,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230509-15:06:39-126224,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230509-15:06:39-126224,config,,,Network.queue.serviceTime,200,,
General-0-20230509-15:06:39-126224,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230509-15:06:39-126224,config,,,Network.nodeRx.queue.serviceTime,200,,
