run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230508-18:46:41-107897,runattr,,,configname,General,,
General-0-20230508-18:46:41-107897,runattr,,,datetime,20230508-18:46:41,,
General-0-20230508-18:46:41-107897,runattr,,,datetimef,20230508-184641,,
General-0-20230508-18:46:41-107897,runattr,,,experiment,General,,
General-0-20230508-18:46:41-107897,runattr,,,inifile,omnetpp.ini,,
General-0-20230508-18:46:41-107897,runattr,,,iterationvars,,,
General-0-20230508-18:46:41-107897,runattr,,,iterationvarsd,,,
General-0-20230508-18:46:41-107897,runattr,,,iterationvarsf,,,
General-0-20230508-18:46:41-107897,runattr,,,measurement,,,
General-0-20230508-18:46:41-107897,runattr,,,network,Network,,
General-0-20230508-18:46:41-107897,runattr,,,processid,107897,,
General-0-20230508-18:46:41-107897,runattr,,,repetition,0,,
General-0-20230508-18:46:41-107897,runattr,,,replication,#0,,
General-0-20230508-18:46:41-107897,runattr,,,resultdir,results,,
General-0-20230508-18:46:41-107897,runattr,,,runnumber,0,,
General-0-20230508-18:46:41-107897,runattr,,,seedset,0,,
General-0-20230508-18:46:41-107897,config,,,network,Network,,
General-0-20230508-18:46:41-107897,config,,,sim-time-limit,200s,,
General-0-20230508-18:46:41-107897,config,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,
General-0-20230508-18:46:41-107897,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230508-18:46:41-107897,config,,,Network.queue.bufferSize,200,,
General-0-20230508-18:46:41-107897,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230508-18:46:41-107897,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230508-18:46:41-107897,config,,,Network.queue.serviceTime,200,,
General-0-20230508-18:46:41-107897,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230508-18:46:41-107897,config,,,Network.nodeRx.queue.serviceTime,200,,
