run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230508-21:46:10-110933,runattr,,,configname,General,,
General-0-20230508-21:46:10-110933,runattr,,,datetime,20230508-21:46:10,,
General-0-20230508-21:46:10-110933,runattr,,,datetimef,20230508-214610,,
General-0-20230508-21:46:10-110933,runattr,,,experiment,General,,
General-0-20230508-21:46:10-110933,runattr,,,inifile,omnetpp.ini,,
General-0-20230508-21:46:10-110933,runattr,,,iterationvars,,,
General-0-20230508-21:46:10-110933,runattr,,,iterationvarsd,,,
General-0-20230508-21:46:10-110933,runattr,,,iterationvarsf,,,
General-0-20230508-21:46:10-110933,runattr,,,measurement,,,
General-0-20230508-21:46:10-110933,runattr,,,network,Network,,
General-0-20230508-21:46:10-110933,runattr,,,processid,110933,,
General-0-20230508-21:46:10-110933,runattr,,,repetition,0,,
General-0-20230508-21:46:10-110933,runattr,,,replication,#0,,
General-0-20230508-21:46:10-110933,runattr,,,resultdir,results,,
General-0-20230508-21:46:10-110933,runattr,,,runnumber,0,,
General-0-20230508-21:46:10-110933,runattr,,,seedset,0,,
General-0-20230508-21:46:10-110933,config,,,network,Network,,
General-0-20230508-21:46:10-110933,config,,,sim-time-limit,200s,,
General-0-20230508-21:46:10-110933,config,,,Network.nodeTx.gen.generationInterval,exponential(0.6),,
General-0-20230508-21:46:10-110933,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230508-21:46:10-110933,config,,,Network.queue.bufferSize,200,,
General-0-20230508-21:46:10-110933,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230508-21:46:10-110933,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230508-21:46:10-110933,config,,,Network.queue.serviceTime,200,,
General-0-20230508-21:46:10-110933,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230508-21:46:10-110933,config,,,Network.nodeRx.queue.serviceTime,200,,
