run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230514-21:11:10-6962,runattr,,,configname,General,,
General-0-20230514-21:11:10-6962,runattr,,,datetime,20230514-21:11:10,,
General-0-20230514-21:11:10-6962,runattr,,,datetimef,20230514-211110,,
General-0-20230514-21:11:10-6962,runattr,,,experiment,General,,
General-0-20230514-21:11:10-6962,runattr,,,inifile,omnetpp.ini,,
General-0-20230514-21:11:10-6962,runattr,,,iterationvars,,,
General-0-20230514-21:11:10-6962,runattr,,,iterationvarsd,,,
General-0-20230514-21:11:10-6962,runattr,,,iterationvarsf,,,
General-0-20230514-21:11:10-6962,runattr,,,measurement,,,
General-0-20230514-21:11:10-6962,runattr,,,network,Network,,
General-0-20230514-21:11:10-6962,runattr,,,processid,6962,,
General-0-20230514-21:11:10-6962,runattr,,,repetition,0,,
General-0-20230514-21:11:10-6962,runattr,,,replication,#0,,
General-0-20230514-21:11:10-6962,runattr,,,resultdir,results,,
General-0-20230514-21:11:10-6962,runattr,,,runnumber,0,,
General-0-20230514-21:11:10-6962,runattr,,,seedset,0,,
General-0-20230514-21:11:10-6962,config,,,network,Network,,
General-0-20230514-21:11:10-6962,config,,,sim-time-limit,200s,,
General-0-20230514-21:11:10-6962,config,,,Network.nodeTx.gen.generationInterval,exponential(0.3),,
General-0-20230514-21:11:10-6962,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230514-21:11:10-6962,config,,,Network.queue.bufferSize,200,,
General-0-20230514-21:11:10-6962,config,,,Network.queue1.bufferSize,200,,
General-0-20230514-21:11:10-6962,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230514-21:11:10-6962,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230514-21:11:10-6962,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230514-21:11:10-6962,config,,,Network.nodeRx.queue.serviceTime,200,,
General-0-20230514-21:11:10-6962,config,,,Network.nodeTx.traTx.bufferSize,2000000,,
General-0-20230514-21:11:10-6962,config,,,Network.nodeRx.traRx.bufferSize,200,,
General-0-20230514-21:11:10-6962,config,,,Network.queue1.serviceTime,200,,
General-0-20230514-21:11:10-6962,config,,,Network.queue.serviceTime,200,,
General-0-20230514-21:11:10-6962,vector,Network.nodeTx.traTx,bufferSize,,,"0.23876235137 0.508330467915 0.885109695329 1.442990958951 1.719957898392 2.305421499157 2.541581841152 3.105271057413 3.270585603414 3.563687531332 3.875135321531 4.020673770647 4.193329529712 4.299277271453 4.966334598064 4.983849998792 5.97832368277 6.073830525023 6.218911156508 6.413745060983 6.88441389627 7.386077256367 7.611879490361 7.808044260527 8.059874116397 8.209535719102 8.989011944857 9.531522724139 9.553628330779 9.677101729652 9.704450037489 10.017833789981 10.023961466501 10.161735907678 10.69798220671 11.643033185313 12.094768462904 12.140137719003 12.752231996386 13.36449966116 14.518066221903 14.710578973706 15.192150840824 15.676351463292 15.86203030118 16.082519627537 16.537480419734 16.878262102247 16.916024425078 17.298592735745 17.60502229805 17.866718656563 17.913137560713 18.144387958253 19.012714101649 19.439123505677 19.660471693204 19.694055541394 19.854725257462 20.047233668071 20.139417773717 20.201278758326 20.647755206052 21.048342261439 21.231066988394 21.304281535615 21.556381947299 21.599965355487 21.605655926247 21.72318716945 22.01160145117 22.060242398004 22.344341401156 22.419773980778 22.707638373988 22.85420548878 23.717579995163 24.416254007427 24.759795693837 24.939119516883 25.072775065398 25.357623440447 25.529983162469 26.227888480977 26.586720820814 26.618089188547 26.636723775687 27.686787881023 28.016461621288 28.334111860734 28.66729109444 28.723518914245 28.79438092607 28.927402134656 28.968810741185 29.385523548122 29.499212137407 29.780030605338 29.915661223405 30.033594990596 30.286923328654 30.298678275578 30.47187556882 30.77363687037 32.109985924223 33.067869916839 33.100160449286 33.417508373292 33.487798828925 33.790204602551 33.842978666179 35.451008771252 35.76863158578 36.030206341868 36.117830501848 36.278349904973 36.46673237927 36.659866679751 36.743949782295 37.037009004516 37.08894724136 37.212697610337 37.247784233275 37.584734723735 37.90515638288 38.019623135892 38.064236816668 38.51622741665 38.581891595602 39.478048563158 39.61605275048 39.941933564743 40.458033062058 40.462132435587 40.492775900044 40.785306480291 41.331252156076 41.667196465802 41.697506898395 42.769583410098 43.894292847973 44.525889238211 44.71559021713 44.92936529513 46.057943480481 46.075141558408 46.353685107478 46.53366917347 46.936942755116 46.94299979356 46.954992683277 47.129856199937 47.229579272226 48.39705030908 48.435467338673 48.569093177249 48.674446004063 48.871139889372 48.9090564803 49.259118538265 49.373928822924 50.011199982025 50.171665294752 50.922838829678 50.942728050123 51.016046684548 51.369803542668 51.619656597488 51.870485857079 52.471458013831 52.56398246586 52.777356847025 52.999584532159 53.745259239252 53.774854331777 54.536945684165 54.794314376487 54.820345521189 55.615122299792 55.712724424451 55.827792488681 55.83061271388 56.160866486907 56.715064782208 56.757463996276 57.06999819253 57.447978335563 58.000363077009 58.102859327117 58.195114644246 58.255819775816 58.407979812793 58.672918525381 58.914357745321 58.92045148296 58.974527158555 59.504249480279 59.642768749092 59.64418071124 59.691683163109 60.031473405701 60.284398315346 60.378814813602 60.743767409633 61.142394771758 61.244498793229 62.227041746543 62.397412992587 62.483219284339 62.906526607127 63.164044497476 63.315347639452 63.584324900688 64.263444973446 64.518211216915 64.823808835921 64.899534833788 65.56598690333 66.481671400395 66.823553789455 67.001340997691 67.18025481599 67.742292779947 68.89519475492 69.255866325094 69.292924319303 69.398830359285 69.835875926854 70.340152588218 70.499369337203 70.650874961529 70.988459566582 71.627309385402 71.713532528223 71.974693276121 72.087414928843 72.727864063838 73.737175199753 74.090990079846 74.357348502977 74.744921283617 75.068271748858 75.277011587128 75.505571918517 76.443212425814 76.521829598317 76.831668701511 76.982361940989 77.147780738029 77.437116807677 77.716837671799 77.910069084296 77.9158830187 78.106421333389 78.21409949815 78.591812553329 78.915608612926 79.017508032701 79.12028792011 79.265378626087 79.554091142818 79.968984904779 80.136973225801 80.769207507286 80.81287970082 80.845443830368 80.951711070042 80.980787896415 81.233954438192 81.365062842324 81.633181565816 81.873947161544 82.130171082237 82.140432107744 82.458134923358 83.499895567143 83.816650449741 83.932789477386 84.102172627722 84.177197076215 84.857787274023 84.903475361599 85.040927226786 85.071623411242 85.243361876671 86.484704804824 87.152179201992 87.242648975959 87.734918249337 87.965941307201 88.331047155802 88.509269205299 88.540952998388 88.572417549068 89.328202188093 89.458505884876 89.83428814235 90.024326927667 92.053944083648 92.605863919171 92.654424945185 93.35947813211 93.967250777241 93.978735651106 94.03193332365 94.244908701817 94.531698628994 94.586460209559 94.626115322443 95.079062359126 95.644241025102 96.24483697376 96.738852704158 96.897853567599 97.150417856119 97.195655159177 97.352516168204 97.36265220387 97.384154819164 98.599108870805 98.95774044069 99.097922210613 99.279211932167 99.44266907061 99.826769331754 99.842343097409 100.446174918271 100.582648471709 101.69563664928 101.700666979078 102.281640150325 102.360338943075 102.363873912651 102.798212137248 102.932087983404 103.797471509035 104.190261018242 104.606148423848 104.662636916414 104.787020679212 105.007860009208 105.209598164258 105.226359180125 105.350552856927 105.417494619357 105.476843471595 105.482452112721 105.538707798082 106.012231614714 106.199010817908 106.275062529451 106.897871847584 107.024968977991 107.890332264513 108.679997923278 108.961139538595 109.326778579598 109.599167787795 109.608874829189 110.068124197069 110.122111399535 110.330071330396 110.621515977824 110.637020849563 110.895297940567 111.25558921253 111.337089633633 112.800829500031 113.617233976805 113.710524318296 113.996073230559 114.337052179136 114.567176075508 115.166327665755 115.433741238828 115.850644357961 116.24357996937 117.244960269526 117.357126218297 117.599520234317 117.751879771123 117.823505632977 117.894163005003 117.969642588937 118.031452203482 118.105509984122 118.972232661692 119.225126294316 119.628730524286 119.809234220243 120.011507591134 121.065851195295 121.143255024477 121.485596395335 121.573648690912 121.600394977911 121.618329266786 121.635750975421 121.806720245013 122.00745436212 122.119555300438 122.758156328797 123.115713759893 124.239722144041 124.382047031141 124.670478902612 124.729869223212 124.964461939475 124.971958445469 125.550466486533 125.571351787855 125.979931305147 126.321192856809 126.516562076384 126.697936441885 127.037043105658 127.267779045987 127.547997145769 128.228949150504 128.605210131531 129.997105889443 130.187284895261 130.260632201874 130.443282075995 130.769653406079 131.48032885733 131.572010327874 131.616289137741 131.622549303324 131.700654726788 132.126769763464 132.766838749706 132.88254505792 133.586898186349 133.731989702596 134.043344725243 134.309595303788 134.427367212244 134.960810213294 135.180820515244 135.478271803113 135.478288408682 136.096534780946 136.208663769091 136.304536165553 136.470787414267 136.950703246819 137.600432351081 137.662036681702 138.003753976904 138.919709377782 139.102422761595 139.451356746623 139.649507670548 139.72232321865 140.188722099993 141.07206618322 141.150258222033 141.544010619923 142.180834616106 142.268720053652 142.381648859108 142.453625914939 143.400754577364 143.619822876936 143.811279458614 143.819078782172 144.192084015557 144.261841521072 144.311903913442 144.477755424638 144.871047135086 145.011650077879 145.323411768853 145.510260561782 145.582836455213 145.680401260606 145.742308658687 146.007444355497 146.501867207445 147.100078967828 147.512482953969 147.549992730946 147.88703088081 148.10558803363 148.202847767676 148.245340378115 148.303018810368 148.681562612414 149.047262415968 149.198546395943 149.385157471667 149.635170943861 150.185749964743 150.246487593852 150.315260891414 150.362203622529 150.416285912402 150.61714808966 150.657150276642 150.78898689379 151.173114199984 152.019304984509 152.028582871977 152.463449304905 152.875752209231 153.290041137931 153.319191441441 154.021339029638 154.094898457431 154.121031032409 154.536025972254 154.777043501054 155.171731378543 155.435195902158 155.449202225251 156.429751145498 156.500147900275 156.603803775388 156.705250189841 156.787908570952 157.127184114709 157.15889026694 157.178424126376 157.183393954702 157.42673626137 158.222503816026 158.225288723339 158.557811649603 159.094808530947 159.55615714529 160.802948473959 160.902221438312 161.26692858032 161.531792743807 161.591925402333 161.611753005541 161.827226949573 162.026669274438 162.287238993878 163.425446128804 163.890149632551 164.517616604338 164.797400160919 164.921219120937 164.995143867601 165.972820160756 166.155003947342 166.234077081193 166.867343713508 167.76200391615 167.965344516767 168.81633657478 169.193507673451 169.675145302371 169.874898048362 170.173537141372 170.543401280281 171.165529719211 171.372360080565 171.476386071702 172.034815564597 172.601846074026 172.666674939004 172.955278516981 173.400551261776 173.404548835225 174.502446034454 174.630406778065 175.225231449446 175.273331677792 175.72815235674 176.930537253202 178.191095081076 178.386334283784 178.806536992872 179.01292003641 179.014136932806 179.320193059192 179.414392428611 179.552329823944 179.710869992435 179.755037503629 179.922739804626 180.440729818549 180.546808791128 180.609968777589 180.763783170378 180.978596765776 181.017170836959 181.093374250464 182.277664230732 182.308554739848 182.464878386173 183.059445488506 183.312086379357 184.394768680852 184.521066670267 185.493055560337 185.959643868443 186.670760142627 186.829748616409 187.275977542711 187.409522344533 187.531077209236 187.684074459391 187.70944830692 187.817236478458 187.974126774555 188.421916423813 188.501197563054 189.28316910375 189.325806757168 189.443857480505 189.46032969227 190.376787625972 190.764731983611 190.768945960984 190.772393936047 191.001121041311 191.442782288709 191.55175495438 191.599434908277 192.242750547631 192.267609229507 192.354163042611 192.382325406796 192.721739037077 193.056205263649 193.555094997851 193.639552204592 193.809320567082 193.973017881512 194.391478608891 194.63598410816 195.166870055123 195.757887324801 195.90083089958 196.290364590261 196.320824815443 196.415372824058 196.504143386032 196.546433751357 196.815332512863 196.832422472603 197.026574883816 197.134263279329 197.335054140925 197.426245608694 197.610277335572 197.792996672169 198.016071629702 198.360994046027 198.536021177338 198.892870052738 199.467322730031 199.567343731544 199.737794876667 199.88117027292","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 2 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 3 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
